Department,course_code,course_name,credits,distribution,prerequisites,overlap_with,syllabus
Electrical Engineering,EEP502,Instrumentation Lab,1.5,0-0-3,None,EEP304 (40%); EEP307 (14%),Physical Sensor I: Temperature Sensors – Cold junction compensation for thermocouple – linearization of thermistor using bridge circuits; Physical Sensor II: Capacitive and Inductive Sensors– LVDT; Level sensor– Study on linearity; gain error and offset error; hysteresis; calibration and sensitivity; Physical Sensor III: Motion sensors– Velocity and Acceleration sensors; Physical Sensor IV: Load cell – 1; 2; 4 bridge strain gauges; Piezoelectric– charge amplifiers; Signal conditioning circuits: Oscillators– IA– Filters; Biomedical Instrumentation: ECG signal processing– Notch Filters– FFT and Digital Filters; Chemical Sensors: Glucose sensors– Selectivity; Data analysis and Machine Learning; Robot Car movement: Proximity sensors – Track identification; Image Processing: Image smoothing – Edge Detection – region-based segmentation – Object Identification; Computer vision: Face; Facial Expression Recognition – Image Fusion – Gesture Recognition.
Electrical Engineering,EEL509,Power Electronics,3,3-0-0,EEL20X; EEL15X,EE509,Power semiconductor devices: Diode- Thyristor- Triac- GTO- MOSFET- IGBT- Materials (Silicon; Silicon Carbide; Gallium Nitride); Controlled and Uncontrolled Rectifiers; 3 phase rectifiers; DC to DC conversion: Buck- Boost converters. Single phase and three phase inverters. Pulse width modulation techniques. Group Project Presentations.
Electrical Engineering,EEL521,Renewable and Distributed Energy Systems,3,3-0-0,EEL303,NA,Introduction to Energy Resources: Introduction to Energy sector and Energy economics; Energy for sustainable development; Review of Renewable and Non-renewable Energy sources. Wind Energy Conversion System: Modeling of wind resource; aerodynamic characteristics; wind energy generators steady-state and dynamic modeling; electrical and pitch controller design; effect of induction generators on grid operation. Solar Energy Conversion System: Solar Photovoltaic systems steady state and dynamic modeling; MPPT operation; power electronic systems for solar PV Distributed Generation; power converter topologies for grid interconnection; inverter modelling; control of grid interactive power converters; synchronization and phase locking techniques; current control; and recent trends in DG interconnection. Microgrid – Introduction. Introduction to Fuel Cell and Hydro energy Systems: electric equivalent circuits of fuel cells; mini and micro hydro; small hydro systems; Different types of hydro turbines; generators & their controls.
Electrical Engineering,EEP522,Power Electronics Lab,1.5,0-0-3,EEL621,NA,Simulate the power electronic circuits in Matlab/pscad/ltspice; Generate gate pulses using TL494/SG3525; Selection and identification of HW components; Design magnetics; Open loop hardware; Closed loop control; Realization in PCB (Eagle/Kicad/Diptrace).
Electrical Engineering,EEP523,Power System Lab,1.5,0-0-3,EEL622,NA,Including an HVDC Transmission Line for Power Flow Calculations in PowerWorld and Modeling of Thyristor Converters in PSCAD/EMTDC; Power Quality: To obtain the current harmonics drawn by power electronics interface; Voltage Regulation; To study the effect of real and reactive powers on bus voltages; Modeling of Thyristor Controlled Reactors (TCR); Modeling of Thyristor Controlled Series Capacitors (TCSC); To calculate transient stability in a 3-bus example power system; AGC using Simulink and Economic Dispatch using PowerWorld; Switching Over-Voltages and Modelling of Surge Arresters using PSCAD/EMTDC; Lightening and TOV Studies
Electrical Engineering,EEL601,Advanced Control Theory,3,3-0-0,None,EEL302 (30%),State Variable Modelling: linear vector space and State model – Invariance – Generalized Eigen Values and Eigen Vectors – Minimal realization of SISO; SIMO; MISO transfer function – State Transition Matrix – Controllability and Observability; Modern Control Design: State Feedback Controller – State Observer – Control Observer based controller design– Reduced order observer design– Internal stability of a system– Singular Value Decomposition (SVD) – Model decomposition and Decoupling by state feedback– Disturbance rejection; sensitivity; and complementary sensitivity functions; Digital Controller: Discretization (Impulse Invariance; Bilinear etc) – FIR and IIR Realization – DFT – Aliasing and Frequency Warping – Solution to Difference Equation – Z domain Transfer Function – State Transition Matrix – State Feedback Controller and State Observer in Discrete Domain – MATLAB Simulation; Nonlinear System: Fundamental Nonlinearity – Describing functions – Examples: Cart Pendulum etc. – Linearization; input-state linearization; input-output linearization – Jacobian – Phase plane analysis – Singular points characterization– Limit Cycles– Lyapunov Stability Criteria– Aizermans and Kalmans conjecture; Nonlinear Control: Lure Problem– Popov’s hyperstability theorem– Disturbance issues in nonlinear control– Concept of variable-structure controller and sliding mode control– Application: flight control; magnetic levitation and robotic manipulator.
Electrical Engineering,EEL602,Advanced Sensing Techniques,3,3-0-0,None,EEL208 (25%),Physical Sensors: Thermal Sensors – Motion Sensors – Force Sensors – Flow sensors – MEMS Sensors; Signal Conditioning Circuits: Bridges – Op amps – IA – Filters – FIR and IIR Filters; Chemical Sensors: Optical chemical sensor – biochemical sensor – enzyme sensor – Sensor array – Lab on chip/senor platform technology; Data Analysis: Statistical Parameters – Principal Component Analysis – Machine Learning Classifiers – Neural Network in designing Sensor Array; Sensors for Control Application: Robot Sensors Introduction – Vision sensors – Robotic Perception – Exteroceptive Sensors – Tactile Sensors – Interoceptive Sensors; Reconstruction: Feature extraction – State estimation – Kalman Filter – Multi Sensor Fusion – Environmental modelling.
Electrical Engineering,EEL603,Optimal Control,3,3-0-0,None,NA,Static Optimization: Introduction – Constraints and Classifications – Sylvester’s Criteria – Hessian Matrix – Unconstraint Optimizations – Steepest Descent Method – Conjugate Gradient Method – Constraint Optimizations – Lagrange Multipliers; KKT Conditions – Convex Optimizations – Linear Programming; Dynamic Optimization: Calculus of Variation – EL Equation – Two points / single point boundary value NL problem – Transversality Condition – Hamiltonian – MATLAB Simulation – Bolza Problem; Optimal Control: Finite time and Infinite time Linear Quadratic Regulator (LQR) – Hamiltonian System – Matrix Differential Riccati Equation (MDRE) – Algebraic Riccati Equation (ARE) – Gain scheduling; Model reference and Self-tuning control problem – Evolutionary methods – Genetic algorithms – MATLAB Toolbox; Robust Controller Design: Concept of close loop robustness and sensitivity analysis – Kharitonov theorem – uncertainty models and Quantitative Feedback Theory (QFT) for robust design – State estimation in noisy environment – Recursive least-squares filters – Optimal & Robust State Feedback Control – the separation principle – Linear Quadratic Gaussian – Halpha framework.
Electrical Engineering,EEL605,Digital Image Processing,3,3-0-0,None,NA,Fundamentals – Visual perception; image representation; image sampling and quantization; image interpolation; Intensity transformation – point operations and transformations for enhancement; histogram equalization; Spatial filtering – convolution; linear and order statistic filters; unsharp masking; image smoothing; specialized filters (Gaussian; Laplacian; etc.). Image Transforms and Transform domain processing – discrete Fourier transform; discrete cosine transform; Image restoration – using spatial filters; Weiner filter. Image Segmentation – edge detection; thresholding; binarization; regionbased segmentation. Morphological image processing – erosion and dilation; opening and closing; hitor-miss transform; thinning and shape decomposition. Image compression – fundamentals; lossless coding; predictive coding; transform coding.
Electrical Engineering,EEL621,Advanced Power Electronics,3,3-0-0,EEL303,NA,DC-DC converters: Analysis and detailed design of buck; boost; buck-boost; Continuous and discontinuous current modes of operation; Introduction to higher order converters: SEPIC; Cuk; Zeta converters; Isolated DC/DC converters: flyback; forward; Push-pull; full bridge.; Soft switching converters: resonant and Dual Active Bridge converter. Analysis and control of DC/DC converters: State space averaging; Linearization; small-signal modeling of dc-dc converters; Review of linear control theory; Voltage mode and current mode control design methods; AC-DC PWM rectifiers; Power quality issues; Boost and flyback converter-based power factor correction circuits; (PFC) Models; design; and control of PFC; Full bridge bi-directional PWM rectifiers; applications in front end of motor drives. DC-AC PWM inverters: Voltage source inverters - topology and PWM techniques; Models of single phase and three phase inverters and control methods; Applications in low frequency AC synthesis; Three-phase PWM techniques; High voltage converters and application; Multi level converters: Neutral point clamp; flying capacitor; Cascade H bridge; Modular MultiLevel converter: structure; control; issues; Miscellaneous topics in power electronics: Gate driver; Sensing and protection circuits; EMI issues and filter structure; Magnetics in power electronics.
Electrical Engineering,EEL622,Power Quality,3,3-0-0,EEL303,NA,Introduction to Power Quality: Review of Power quality; terms and definitions; Types of Power Quality Problems; International Standards of Power Quality; Root Causes of Power Quality Problems; power quality monitoring. Load Causes the Power Quality: Various types of nonlinear loads such as converter based nonlinear loads; Current fed type of nonlinear loads; and Voltage fed type of nonlinear loads; Effect of Power Quality Problems. Passive Filters for Mitigation of Power Quality Issue: Power quality mitigation techniques; Passive filters; shunt; series and hybrid configurations; Principal and operation of passive filters; Design and analysis of Passive filters; Resonance of passive filters with supply system and its mitigation. Shunt Active Filters for Mitigation of Power Quality Issue: Principle of operation and control of single-phase Shunt active power filters and single-phase DSTATCOM using DQ Theory; Principal of operation and control of three phase shunt active filters and DSTATCOM; SRF theory-based control; IRPT based control; and Unit Template based control and some adaptive control schemes. Series Active Filters for Mitigation of Power Quality Issue: Principle of operation and control of series active power filters; Control algorithm for Elimination of voltage harmonics; Control algorithm for Elimination of current harmonics; working principle and control of Unified Power Quality Compensator; Specific Power quality control schemes: for Induction motor drives; PMBLDC drives; PMSM drives and SyRM drives.
Mechatronics Engineering,MTL201,Fluid Power Systems,4,3-0-2,None,NA,Introduction: Types of power systems – Physical properties of fluids – Types of fluids and fluid power systems – Application of fluid power systems; Hydraulic systems: Pumps – Actuators – valves – circuits design and analysis – Ancillary hydraulic devices; Pneumatic systems: Compressors – Air preparation units – circuit design; Advanced systems: Servo-hydraulics – Electro-pneumatics – Digital systems; Lab-practise: computer simulation of hydraulic and pneumatic circuits – design development and deployment of pneumatic systems.
Mechatronics Engineering,MTL202,Industry 4.0,3,3-0-0,None,DSL250 (10%),Introduction: Sensing & actuation; Communication; Networking; Industry 4.0: Globalisation and Emerging Issues; The Fourth Revolution; LEAN Production Systems; Smart and Connected Business Perspective; Smart Factories; Basic principles and technologies of a Smart Factory: Internet of Things (IoT) & Industrial Internet of Things (IIoT); Big Data; Cyber-Physical Systems; Value chains in manufacturing companies; Customization of products; Digital Twins; Cloud Computing / Cloud Manufacturing; Industrial IoT: Big Data Analytics and Software Defined Networks; Machine Learning and Data Science; Data Management with Hadoop; Security in IIoT; Fog Computing; Industrial IoTApplication Domains: Factories and Assembly Line; Food Industry; Healthcare; Power Plants; Inventory Management & Quality Control; Plant Safety and Security (Including AR and VR safety applications); Facility Management; Oil; chemical and pharmaceutical industry; Applications of UAVs in Industries.
Mechatronics Engineering,MTL301,Fundamentals of Robotics,3,3-0-0,MEL334,EEL208 (10%) and EEL205 (10%),Introduction; transformations; DH Parameters; Forward and Inverse Kinematics; redundancy resolution; Velocity kinematics and Jacobian; Singular value decomposition; singularity; and manipulation ability; Trajectory planning; dynamics; Multi finger grasping – form; force closures; grasp matrix; Locomotion – active and passive walkers; concepts of balance; Biped Gait and Balance using ZMP; kinematics and dynamic modelling of walk. Design and Optimization of legged mechanisms; Sensors and actuators as used in robotics; Basics of linear control – PD; PID controller; model-based control; stability.
Mechatronics Engineering,MTP301,Mechanism Lab,1.5,0-0-3,None,NA,Rigid link mechanism: Analysis; synthesis and fabrication; Path planning for mechanism labs; Fabrication of robotic linkage; Evaluation material properties: Hardness; tensile strength; coefficient of friction etc; Actuation of mechanisms; Measurement of torque and forces in mechanism.
Mechatronics Engineering,MTP302,Mechatronics Lab,1.5,0-0-3,None,EEP307 (25%),Rigid link mechanism: Analysis; synthesis and fabrication; Path planning for mechanism labs; Fabrication of robotic linkage; Evaluation material properties: Hardness; tensile strength; coefficient of friction etc; Actuation of mechanisms; Measurement of torque and forces in mechanism.
Mechatronics Engineering,MTQ401,Minor Project,1.5,0-0-3,None,NA,Research and system development oriented projects based on problems of practical interest. Students are generally expected to work towards the goals set by the project supervisor. Evaluation would be done based on regular presentations; written reports; and demo of the system developed.
Mechatronics Engineering,MTL501,Fundamentals of Mechatronics,3,2-0-2,None,MEL333 (25%); EEL208 (25%); and MEL231 (25%),Basics of measurement and Instrumentation: Characteristics; calibration and Error Analysis; Electrical Measurements: (i) bridge circuits for measurements; (ii) wattmeter and energy meter (iii) dynamometers; potentiometers and instrument transformers; An introduction to sensors: (i) temperature sensors (ii) force and pressure sensors (iii) motion sensors and LVDT; (iv) flow sensors (v) Hall effect sensors. Signal conditioning circuit; design (bridge and filter circuits; instrument amplifier) and microcontroller based signal processing and display (using Arduino board); Forces and Moments transmitted by Slender Members: Axial force distribution - Shear force distribution - Bending moment distribution; Stress and Strain: Stress - Plane stress - Strain -Plane strain - Mohr's circle; Stress-Strain Relations: Tensile test - Elastic Stress-Strain relation - Stress concentration - Stress due to torsion Stress due to bending; Column buckling; Basics of Mechanisms: Kinematic pairs; diagrams; and inversion; Analysis of Mechanisms: Displacement; velocity; and acceleration - Analysis of planar linkages - Dynamic force analysis; Inertia forces; Basics of Dynamic components: Gears and gear trains - Cam - Flywheel -Gyroscope; Lab module: Material property testing [2]; Manufacturing methods [3]; Development of mechanisms.
Mechatronics Engineering,MTL602,Design and Analysis of Robotic System,3,3-0-0,None,MTL301 (25 %),Introduction to robotics- History; growth; Robot applications- Manufacturing industry; defense; rehabilitation; medical etc.; Laws of Robotics; Robot mechanisms; Kinematics- coordinate transformations; DH parameters; Forward kinematics; Inverse Kinematics; Jacobians; Statics; Trajectory Planning; Actuators: electrical; pneumatic; etc.; Sensors; sensor integration; Control – PWM; joint motion control; feedback control; Computed torque control; Perception; Localisation and mapping; Simultaneous Localization and Mapping; Probabilistic robotics; Path planning; Breadth-first &amp; Depth-first search; Dijkstra; A-star; D-star; Voronoi; Potential Field; Hybrid approaches; Introduction to Reinforcement Learning.
Mechatronics Engineering,MTL603,Digital Manufacturing,3,3-0-0,None,NA,Introduction to manufacturing techniques: casting; welding; forming; machining etc; Introduction to CAD/CAM: Computer graphics; CNC; CNC coding etc; Introduction to DM- History; development; applications; components; Theory System of Digital manufacturing Science: Operation reference mode and architecture of the digital manufacturing system; modelling theory and method of the digital manufacturing; the macro integrity theory of the digital manufacturing system and the meta theory constructing digital manufacturing; Manufacturing Informatics in Digital Manufacturing Science: The principle and properties of manufacturing information; the measurement and materialization of manufacturing information; self-assembling and the synthesis of manufacturing information and information security. Digital twin for smart manufacturing: Background; concept etc; Cyber-Physical Fusion in Digital twin Shop-Floor: Discussion on fusion of physical elements in physical shop-floor (PS); model fusion in virtual shop-floor (VS); data fusion in shop-floor digital twin data (SDTD); and fusion of services in shopfloor service systems (SSS). Digital Twin-Driven Prognostics and Health Management: How DT is use to emulate physical equipment thoroughly with high fidelity and how it can help digital continuous monitoring; Digital Twin and Virtual Reality and Augmented Reality/Mixed Reality: How to integrate VR; AR and MR with the DT will be discussed to provide more immersive and interactive services to users.
Mechatronics Engineering,MTL655,Automation in Production Systems,3,3-0-0,None,MEL655 (100%),Introduction to manufacturing; Manufacturing system concept. Production concept; Production/Product relationship and mathematical models; Principles of automation and strategies; Basic elements of an automated system; Advanced automation functions and levels of automation; Introduction to NC; CNC technology; DNC; Control systems in CNC system; CNC programming techniques: Word address format and Computer-assisted part programming; Introduction to Robotics; Group Technology and cellular manufacturing; Opitz System and GT benefits; Flexible manufacturing systems (FMS); Process planning and computer-assisted process planning; Automated materials handling and storage systems. 
