course_code,Department,course_name,credits,distribution,prerequisites,overlap_with,syllabus
LAL200,Liberal Arts,Macroeconomics,2,2-0-0,None,LA321 (80%),Introduction: Circular flow of income; National Income Accounts and Distribution of Income/GDP: concept;methods of measurement;composition; GNP;NNP; Real GDP=nominal GDP-GDP deflator; inflation-Consumer price index; unemployment;natural rate of unemployment;Okun's Law;The Philips curve. Classical Theory: Economy in long run-factors of production;production function-supply of goods and services; Factor prices-firms demand for factors-division of national income; Demand for goods & services-consumption and investment-goods market equilibrium-financial market equilibrium. Money and Inflation: Functions;types;role of banks in the monetary system-money supply-instruments of monetary policy-role of central bank;money demand function-Quantity Theory of Money-inflation and interest rates-real and nominal interest rate-Demand for money;hyperinflation-classical dichotomy. Business cycle theory: Economy in short run;aggregate demand and supply-stabilization policy-IS-LM framework-fluctuations and shocks in IS-LM model-policy analysis;Great depression spending and money hypothesis. Open economy: International flow of capital and goods-exports-trade balance;trade openness-capital mobility and small open economy-exchange rates-Mundell-Fleming Model-Asian financial crisis 1997 and Financial crisis 2008. Indian Economy: Fiscal Policy analysis;Functions of Reserve Bank;Monetary Policy Committee;Inflation targeting and Monetary policy analysis
LAL202,Liberal Arts,International Trade,2,2-0-0,Nil,Nil,Introduction: International economics-Gains from trade-pattern of trade;International capital marketTrade protectionism;reasons and strategies; India's international trade-World trade overview. Theory of trade: Classical theories-Mercantilism;comparative advantage theory; offer curves and Terms of Trade; New theories of trade;Factor Endowments;Heckscher-Ohlin Theory;Empirical  evidence on H-O model;Stolper-Samuelson Theorem;Gravity model; Economies of scale;Economic growth and international trade. International trade policy: Trade restrictions-tariffs;non-tariff barriers;new protectionism policies; Economic integration-Customs Unions;inter-regional trade;trade blocks and free trade Areas; International resource movement; World Trade Organisation (WTO). Balance of Payments and Foreign exchange market: Capital and current accounts-BoP-Foreign exchange rates-exchange rate determination. International Monetary System: Price adjustment mechanism with flexible and fixed exchange rates; Income adjustment mechanism-automatic adjustments; Open economy adjustment policies; IMF; International monetary system and policy coordination
LAL222,Liberal Arts,City in Literature,2,2-0-0,Nil,LA305 (100%),Planning: informality;risk Home: design;family Small Towns: community;aspiration Love: desire;agency.
LAL223,Liberal Arts,Introduction to Partition Literature,2,2-0-0,Nil,LA327 (50%),Historical background Testimonies and accounts: Urvashi Butalia's The Other Side of Silence Trauma and memory: Manto's “Toba Tek Singh” and “Khol Do”;Excerpts from Khuswant Singh's Train to Pakistan ;Excerpts from Bhisham Sahni's Tamas Women's experience;Chughtai's “Roots”;Uttamchandani's “Bhoori”;Manik Bandhopadhyay's “The Final Solution”;Amirta Pritam's “Ode to Waris Shah” Partition Literature and film;Garam Hava;Meghe Dhaka Tara
LAL224,Liberal Arts,Introduction to Postcolonial Literature,2,2-0-0,Nil,LA354 (50%),Background: the history of colonialism Defining the key terms: colonialism;imperialism;and postcolonialism Commonwealth Literature: national vs. postcolonial literature [Rushdie's “Commonwealth Literature does not Exist”] Eurocentrism: The Orient and the Occident;otherisation [Edward Said's Orientalism;Eduardo Galeano's Mirrors;Atwood's “Post-colonial”] Politics of language: English vs. regional languages;language as cultural capital;class and aspiration [ Macaulay's Minute on Indian Education;Ezekiel's “Goodbyr Party for Ms. Pushpa TS”;Fanon on language in Black Skins;White Masks;Aime Cesaire's A Tempest] Diaspora: identity and belonging [Vikram Seth's “Diwali”;Mira Nair's The Namesake;excerpts from Lahiri's The Namesake]
LAL225,Liberal Arts,Self and Society in Modern India,2,2-0-0,Nil,LA360 (50%),Life writing: autobiography;memoir;biography Selfhood: self-fashioning;aspiration;privilege Nation: modernity;decolonisation;globalisation Gender: womanhood;transgendering ;sexuality
LAL227,Liberal Arts,Women's Literature,1,1-0-0,Nil,Nil,Introduction to women's writings: Early women's writings;idea of gender. Women as writer: Stereotypes of women's representation;identity and subjectivity Sexuality and desire: Problematizing patriarchy;writing the body;performativity of gender Gender and ethnicity: Feminism of colour;postcolonial feminism Gendering of space: Space and gender;imagining the nation;feminist writings from India Post-feminism: Cyborg feminism;contemporary discourses
LAL228,Liberal Arts,Travel in the pre-modern world,1,1-0-0,Nil,Nil,Introduction: Modes and means of travel;pre-modern cartographies;cultural ethnographies;narrative and archontic power Trade and Travel: mobility and pluralistic selfhoods;Baghdad;Bulgars and the Khazars;Company pioneers and charlatans;Rus customs and the Seventh Clime Diplomacy and Travel: Accidental Occidentalism;nascent Orientalism;Statecraft at Samarkand;Agra in European eyes
LAL242,Liberal Arts,Basics of Organizational Behaviour,1,1-0-0,Nil,LA347 (100%),The basic nature of Organizational Behaviour Fundamental Assumptions;levels of organizational behviour Brief History;Scientific management;Hawthrone studies;classical organizational theory;findings from social science;changes in the infotech age Disciplines that contribute to OB Challenges and opportunities due to globalization;workforce diversity and economic pressures;networked organizations;social media New tides: Responding to the virtual office and work from home
LAL243,Liberal Arts,Psychology of Memory,1,1-0-0,Nil,LA317 (100%),Cognition;Understanding memory Theories of memory;Atkinson and Shiffrin model;the neural networks model Types of memory;Sensory memory;the working memory and long term memory-semantic;episodic and autobiographical memory. Forgetting;as a result of interference;as a result of retrieval inhibition;distortion and influence of schemas;repression. Mnemonic techniques;for improving memory and remembering better Applications of memory;in Law;clinical psychology;education
LAL244,Liberal Arts,Leadership: An Organizational Behaviour Perspective,1,1-0-0,Nil,LA324 (100%),Introduction to organizational behviour. Understanding the nature of leadership;defining leadership;characteristics of leadership;difference between leaders and managers. Approaches to leadership;trait and behavioural ;great person theory;the big five and meyer briggs characteristics;Blake and Mouton;Ohio and Michigan classifications. Contingency approach;Fiedler model;Situation leadership theory;Path-goal theory;Leaderparticipation model. Contemporary approach;Leaders and followers;leader-member exchange model;dynamics of ingroup versus outgroup;charismatic;transactional and transformational leadership;Decision Theory: Vroom and Yettan's Leader Participation Model. Leadership development;online leadership;selecting leaders;training leaders;360 degree feedback;networking;executive coaching;mentoring;job assignments;action learning. Global implications
LAL245,Liberal Arts,Concepts of Personality Psychology,1,1-0-0,Nil,LA325 (100%),Introduction to Personality Psychology;what is personality? Introduction to Schools of Personality Psychology Selected Trait and type approaches;search for basis traits;Allport and Cattle;the big five personality traits;body type theory;rajas;tamas and sattva theory;Friedman and Rosenman's theory Psychoanalysis and Psychodynamic approaches;structure of the mind;psychosexual stages of development;neo-Freudians. Behaviouristic Approach;Skinners;Watson and Pavlov's experiments and theories Humanistic Approach;Maslow's hierarchy of needs;the study of self-actualizing persons;Roger's theory of the self. Assessment of Personality;self report tests of personality;projective techniques;behavioural observations;interviews and biological methods
LAL246,Liberal Arts,Positive Psychology,1,1-0-0,Nil,LA308 (100%),Introduction brief overview: Shift from the traditional deficit approach to the strengths approach;History of well-being research; Overlaps among well-being concepts Theories;hedonism;eudaimonism;authentic happiness;pleasant;engaged and meaningful life;PERMA;broaden-and-build;structure of psychological well-being Contributors to well-being;Genetics;circumstances;actions VIA Classification: Character strengths and virtues (any one strength in detail) Assessment of well-being: Tools;methodological constraints;accepted indicators Applications of positive psychology techniques;positive psychology interventions exercises;and practice. Criticism and future of positive psychology and The positive side of negative emotions and defensive pessimism
LAL248,Liberal Arts,Understanding Health Behaviour Change,1,1-0-0,LAL246,LA365 (100%),Introduction to theory and behaviour change: Theory;Concept of theory;The role of theory in Health promotion and disease prevention Behaviour Change;What is behaviour change? Why Health Behaviour Change (HBC);Disease Prevention and Health Promotion Theories;models and techniques of health behaviour change: Behaviour Theories and models: Health belief model;Theory of reasoned action;Theory of planned behaviour;Social cognitive theory;Cognitive stages of change theory;Social ecological model;selfdetermination theory;Value-Belief-Norm theory;dissonance theory;An integrative model of behaviour;self-regulation model. Behaviour change Techniques: Self-monitoring;Motivational interviewing;Goal setting and Action plan;Behaviour substitution;Associative learning;Self-control
LAL249,Liberal Arts,Introduction to Understanding Psychological Disorders,2,2-0-0,Nil,Nil,Introduction: Concepts of Abnormality and Psychological Disorders;Classification of Psychological Disorders;Causal factors in Abnormal Behviour;Neurosis and Psychosis: Concept and Difference;Personnel in mental health;Risk of self-diagnosis;Importance of approaching mental health professional and Seeking Help for Mental Health Anxiety Disorder: (Symptoms and Etiology) Generalised Anxiety Disorder;Phobia;Obsessive Compulsive Disorders;Panic Disorder Post Traumatic Stress Disorder. Module 3: Mood Disorder: (Symptoms and Etiology) Depression and Bipolar Disorder;Suicide Module 4: Other Psychological Disorders: (Symptoms and Etiology) Substance Use Disorder;Sleep Disorder;Eating Disorder
LAN710,Liberal Arts,Research Methodology,0,0-0-0,Nil,Nil,Introduction to Research: Research and Research methodology Philosophy of research: Research paradigms;Characteristics Types of research Identifying research topic: Research objective;Framing research questions;hypotheses Literature review: why and how Designing Research Plan Ethics in Research: Research using human subjects;Significance of informed consent;Preparing an informed consent form;Issues related to authorship;Intellectual Property Rights;Plagiarism Qualitative Research: Approaches of Qualitative Research Design: Case Study Research;Grounded Theory Research;Narrative Research;Phenomenological Research;Ethnographic Research;Action Research. Methods of Qualitative Data Collection and Analysis: Interview;Focus Group Discussion;Content Analysis;Thematic Analysis;Grounded Theory Coding;Interpretative Phenomenological Analysis;Discourse Analysis;Cultural materialism;Feminism;Narratology;Postcolonialism. Quantitative Research: Sampling: Concept;Techniques;Determining sample size Methods of Quantitative Data Collection: Observation;Experiment;Survey Research in digital age Data Collection: Tools and methods;Managing data using digital tools;Using online resources for literature review;software and digital applications for data management Data Management software: Reference Management tools
LAL711,Liberal Arts,Modern Indian Literature: Currents and Countercurrents,3,3-0-0,Nil,LA710 (100%),Modernity: bhashas;indigeneity;froms Nation: decolonisation;Partition Caste: ritualism;Dalits;aesthetics Cities: everyday;risk;empowerment
LAL712,Liberal Arts,Cultural Studies: Theory and Practice,3,3-0-0,Nil,LA705 (100%),Key concepts and debates Debates on culture: Arnold;Leavis;Thompson;Williams Popular culture and/or mass culture: Adorno;Hall;Fiske Ideology;hegemony;power: Williams;Althusser;Gramsci;Foucault Representation;Hall Modern contexts: Globalisation;Neoliberalism;Social movements shaping questions of identity: gender;class;caste;race and sexuality Texts and practices: Media;spaces;subcultures;everyday practices
LAL713,Liberal Arts,Urban Writing in South Asia,3,3-0-0,Nil,Nil,Introduction: Literary canonisation;urban in literature;textuality and form;literary and linguistic registers Affect and the city: nostalgia and belonging;love and /in the city;uncanny architectures;risk and violence. South Asian urbanisms: urban histories of South Asia;urbanity in pre-modern literary traditions;modernity;imperialism;and institutionalisation;nationalism;planning;and globalisation Planning and its imprints: colonialism and planning;parastatals and urban land development;aspirational planning and spectacular accumulation;formal and informal. Experience home: public and private in South Asia;domestic typologies;livelihood and habitation;homelessness and alienation
LAL714,Liberal Arts,Feminist Theory in Literature,3,3-0-0,Nil,Nil,Contextualizing Feminist Theory: Introduction of the feminist theory;Feminism-feminine and female;Feminist standpoint theory. Women in Literary history: Revisiting Literary canon;Women's literary history;Subverting Canonical works;Classical women's literature;Ecriture feminine. Women's literature in the postcolonial contexts: Feminist theory of colour;Womanism;Writing back from the postcolonial;Feminism in South Asian contexts;Feminist writing in India. Feminist historiographies: History through feminist perspective;Deconstructing patriarchy in histography;Feminist methodology in Archival work;History of herstory;mnemonic fictions. Feminist fictions and Intersectionality: Identity formation and woman's question in literary works;Nationalist movement and women's writings;Gender and caste;Subalternity;Women's writings from the margins
LAL732,Liberal Arts,Positive Organizational Behaviour,3,3-0-0,Nil,LA703 (100%),Introduction and brief overview;need and call for Positive Organizational Behaviour Understanding what is positive;traits;states and processes. Understanding POB and Positive Organizational Scholarship (POS) and their differences. Framework: Psychological Capital and its effects on the workplace Framework: Work engagement and its effects on the workplace Understanding the two major methodological challenges in POB Positive Organizational Psychology in India: Current position of positive organizational psychology in India and identifying the areas which still need to be explored Interventions in the workplace: effects on well-being and performance;current state of positive psychology interventions at the workplace in India;scope of cross-cultural interventions for influencing workplace well-being and performance;designing a workplace intervention;